debate_id,utterance_id,split,title,speakers,dialogue_history,debate_result,ans_speaker,ans_role,ans_text
897,1006_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Joseph C. Phillips (role: for): Make the actor go first.
Joseph C. Phillips (role: for): Um, I have two questions…
Joseph C. Phillips (role: for): I’m trying to choose—
Joseph C. Phillips (role: for): —which one, we’ll, I’ll ask this one.
Tim Wise (role: against): Well, I don’t say that black folks can only achieve when the playing field is level, I’m making a moral argument, that the playing field should be level because for it not to be, is an injustice, I’m talking about it from an ethical perspective.
Tim Wise (role: against): Walker was the first black millionaire, and she made it in 1911 when 67 black folks got lynched, but I don’t think we would say, well hey, if Madame C.J.
Tim Wise (role: against): Because she was selling beauty products to black women that white folks didn’t wanna make, good for her.
Tim Wise (role: against): It has to do with what is right and what is just and what is proper, and I would guess, just a guess, that when people have equal opportunity, they are indeed more likely to succeed.
Robert Siegel (role: mod): And, uh… Tim Wise, uh, opponent of the, of the resolution “It’s time to end affirmative action,” why don’t you pose a question to John McWhorter who supports that rotion that motion—
Tim Wise (role: against): So given that what would—what should we conclude, the people in the audience and, and those of us up here… from the data which suggests that men, on average, also receive far lower college grades than women, of all races and ethnicities.
Tim Wise (role: against): And if it doesn’t mean that, why doesn’t it mean that, given your argument about race.
John H. McWhorter (role: for): Tim, I’m not sure that you’re aware of the degree of the discrepancies that I’m talking about.
Robert Siegel (role: mod): 30 seconds.
Robert Siegel (role: mod): And, uh, John McWhorter, why don’t you pose a question to, uh, Khin Mai Aung who is a su—uh, an opponent of the, of the motion.
John H. McWhorter (role: for): If, um…when there are racial- preference policies, at least in universities, one unpleasant by- product can be a sense among a certain group that a certain level of performance is just the highest that one does because that’s just ethnically authentic, this is something that I saw when I taught at UC Berkeley.
John H. McWhorter (role: for): And I asked her why and she said, in all seriousness, we’re afraid that black students who perform at that high a level, aren’t going to have a social commitment to the black community at Berkeley.
Robert Siegel (role: mod): Is there a question, to—","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,—Khin Mai Aung—
897,1051_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Joseph C. Phillips (role: for): It’s my position, that, uh…affirmative action, in the form of racial non-discrimination, is a good thing, it’s good for America, that’s what Colin Powell says.
Kimberlé W. Crenshaw (role: against): So are you saying affirmative action is a racial preference and Colin Powell agrees with you on that—
Kimberlé W. Crenshaw (role: against): Okay.
Robert Siegel (role: mod): We’re down to a factual question, when Powell spoke at the ’96 Republican convention, he didn’t defend affirmative action in that…in that speech?
Robert Siegel (role: mod): I—
Joseph C. Phillips (role: for): So I don’t know what he said during that, uh, particular speech—
Kimberlé W. Crenshaw (role: against): It’s in his book.
Robert Siegel (role: mod): Uh, well—
Kimberlé W. Crenshaw (role: against): The—the only—the only point is if you’re gonna use people to support your position, you should be—
Kimberlé W. Crenshaw (role: against): —you should be actually clear, that that’s their position—
Robert Siegel (role: mod): End of panelist question time—","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,End of panelist question time—
897,1002_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Kimberlé W. Crenshaw (role: against): If we wanna talk about other ways to minimize the discrepancies and to minimize the other kinds of discriminatory effects on other standardized tests, I’m all for us—
Kimberlé W. Crenshaw (role: against): —talking about that.
Robert Siegel (role: mod): Well, uh, I’m now going to announce the, uh, the results of our pre-debate audience vote first of all.
Robert Siegel (role: mod): 34 percent of you, uh, voted in favor of the motion, “It’s time to end affirmative action.” 44 percent voted against, and 22 percent, uh, were undecided.
Robert Siegel (role: mod): Uh, to begin the discussion portion of our evening, we’re gonna try something different, I’d like to ask each of our panelists, uh, to pose a question to someone on the opposing side.
Robert Siegel (role: mod): And you’ll have about one minute to answer that question, or you’ll have exactly one minute to answer that question—
Joseph C. Phillips (role: for): Make the actor go first.
Joseph C. Phillips (role: for): Um, I have two questions…
Joseph C. Phillips (role: for): I’m trying to choose—
Joseph C. Phillips (role: for): —which one, we’ll, I’ll ask this one.
Tim Wise (role: against): Well, I don’t say that black folks can only achieve when the playing field is level, I’m making a moral argument, that the playing field should be level because for it not to be, is an injustice, I’m talking about it from an ethical perspective.
Tim Wise (role: against): Walker was the first black millionaire, and she made it in 1911 when 67 black folks got lynched, but I don’t think we would say, well hey, if Madame C.J.
Tim Wise (role: against): Because she was selling beauty products to black women that white folks didn’t wanna make, good for her.
Tim Wise (role: against): It has to do with what is right and what is just and what is proper, and I would guess, just a guess, that when people have equal opportunity, they are indeed more likely to succeed.
Robert Siegel (role: mod): And, uh… Tim Wise, uh, opponent of the, of the resolution “It’s time to end affirmative action,” why don’t you pose a question to John McWhorter who supports that rotion that motion—
Tim Wise (role: against): So given that what would—what should we conclude, the people in the audience and, and those of us up here… from the data which suggests that men, on average, also receive far lower college grades than women, of all races and ethnicities.
Tim Wise (role: against): And if it doesn’t mean that, why doesn’t it mean that, given your argument about race.
John H. McWhorter (role: for): Tim, I’m not sure that you’re aware of the degree of the discrepancies that I’m talking about.
Robert Siegel (role: mod): 30 seconds.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"And, uh, John McWhorter, why don’t you pose a question to, uh, Khin Mai Aung who is a su—uh, an opponent of the, of the motion."
897,1021_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","John H. McWhorter (role: for): If, um…when there are racial- preference policies, at least in universities, one unpleasant by- product can be a sense among a certain group that a certain level of performance is just the highest that one does because that’s just ethnically authentic, this is something that I saw when I taught at UC Berkeley.
John H. McWhorter (role: for): And I asked her why and she said, in all seriousness, we’re afraid that black students who perform at that high a level, aren’t going to have a social commitment to the black community at Berkeley.
Robert Siegel (role: mod): Is there a question, to—
Robert Siegel (role: mod): —Khin Mai Aung—
John H. McWhorter (role: for): How would you respond to that in terms of your support for racial preference policies—
John H. McWhorter (role: for): How do you— Okay, how would you respond to the point, that, if standards are lowered for a particular group over a long period of time, after a while that may be the best that that group ever does because they’ve never been asked to do better.
Khin Mai Aung (role: against): Diversity is a—a genuine benefit, that occurs at an institution, both for the beneficiary and for other students at that institution.
Khin Mai Aung (role: against): Students with very low test scores are never gonna get in, unless they happen to be legacies or children of donors.
Khin Mai Aung (role: against): In the— this 1998 study by the two—
Khin Mai Aung (role: against): —presidents of the university that, um, Kim Crenshaw mentioned, The, The, uh, Shape of the River, it found that, black students at the most prestigious institutions actually graduated at a higher rate than, than black students at less selective institutions.
Khin Mai Aung (role: against): They had the same rate of getting advanced degrees, and they were actually more likely than whites to get, um, uh, advanced degrees in law, medicine, and business, so I would say that, they are qualified and they are succeeding.
Khin Mai Aung (role: against): All right, I too am trying to decide between two questions, so, the question I’m gonna ask, actually, it’s not, um, related to your part comments today.
Khin Mai Aung (role: against): And so, I’m wondering, is that—why—if you, if you’d like to explain that position, I mean, if— If we were back in the ‘60s where, when, uh, you know, we had, uh, black students trying to be served at lunch counters, um, in the South, would you, would you be standing behind the students or would you be standing behind the, um, the diners.
Robert Siegel (role: mod): Terence Pell.
Terence J. Pell (role: for): Those laws are primarily directed towards discrimination by private entities, uh, and private individuals, so, uh, our organization, uh, not only, uh, is not attacking those laws, we’re using those laws and we fully support the use of those laws and the various investigative agencies to go after, uh, identifiable acts of discrimination—
Terence J. Pell (role: for): —by individuals and private entities, so, the premise of your question, uh, is false.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"You can a—well, there are 20 seconds left, uh— I—I think—I think you’ll be able to get to a little bit later, perhaps—"
897,991_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Robert Siegel (role: mod): Okay.
Robert Siegel (role: mod): It’s different, we see a racial disparity, why not, what’s the difference between that, and qualifying with grades.
Kimberlé W. Crenshaw (role: against): So if we’re asking about whether there are alternative ways to measure merit, if there are alternative ways to measure the predictability of success, I’m all for it.
Robert Siegel (role: mod): But—but your colleague Tim Wise—
Robert Siegel (role: mod): —is not limiting himself to those subjects, yes—
Kimberlé W. Crenshaw (role: against): The reality is that, what the other side will refuse to tell you, is that those tests do not tell you anything about the success of minority students and lawyers in the profession.
Robert Siegel (role: mod): But just define—
Robert Siegel (role: mod): —the contours of the argument, my, my, my bar exam question.
Kimberlé W. Crenshaw (role: against): I’m not saying it’s different, I’m saying that the proposal that you’re asking right now, is whether we should eliminate affirmative action.
Robert Siegel (role: mod): You’re open—
Robert Siegel (role: mod): Okay.
Robert Siegel (role: mod): Uh, you voted before the debaters began, the panelists began debating, and the results were as follows.
Robert Siegel (role: mod): And again, at the conclusion of the debate we’ll, we’ll poll you, uh…a second time.
Robert Siegel (role: mod): Joseph Phillips first, you’re in favor of the motion, a question from you for Tim Wise who’s against it.
Joseph C. Phillips (role: for): Okay.
Joseph C. Phillips (role: for): Gonna be protesting outside of here.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"Well, let’s have one question, it’s, uh— It’s hard enough to answer one question—"
897,981_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Robert Siegel (role: mod): But—
Terence J. Pell (role: for): —different…use—
Robert Siegel (role: mod): But you’re describing cases of de facto segregation, if there was a very small population of minorities there would be a case there…for—
Terence J. Pell (role: for): No, I’m talking about particular institutions, for example—
Robert Siegel (role: mod): One particular institutional—
Terence J. Pell (role: for): Yes—
Robert Siegel (role: mod): —segregators—
Robert Siegel (role: mod): Otherwise there’s never been a case for affirmative action—
Robert Siegel (role: mod): Okay.
Robert Siegel (role: mod): It’s different, we see a racial disparity, why not, what’s the difference between that, and qualifying with grades.
Kimberlé W. Crenshaw (role: against): So if we’re asking about whether there are alternative ways to measure merit, if there are alternative ways to measure the predictability of success, I’m all for it.
Robert Siegel (role: mod): But—but your colleague Tim Wise—","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"—is not limiting himself to those subjects, yes—"
897,1026_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Khin Mai Aung (role: against): Well first of all, standards are not lowered.
Khin Mai Aung (role: against): Secondly, beneficiaries of affirmative action are qualified.
Khin Mai Aung (role: against): All beneficiaries of affirmative action have test scores, and, and, and other criteria where they are, are able to succeed and they do succeed.
Robert Siegel (role: mod): 30 seconds.
Khin Mai Aung (role: against): They had very similar career arcs once they graduated.
Robert Siegel (role: mod): And your question now, uh, Khin Mai Aung, uh, who, uh, opposed the motion, put a question to Terence Pell who argues in favor of it.
Khin Mai Aung (role: against): But, um, I understand that, um, the organization that you work for, the Center for Individual Rights, has a position that, um, civil rights laws should not apply to the private sector.
Terence J. Pell (role: for): Well—
Terence J. Pell (role: for): Yes, well, the simple answer is that’s not our position and it never has been our position, we routinely rely on these civil rights laws, like Section 1981, and Title 6 in our lawsuits.
Robert Siegel (role: mod): 30 seconds.
Khin Mai Aung (role: against): I—I take it I can’t respond to that?
Khin Mai Aung (role: against): Well, I was just gonna say—
Khin Mai Aung (role: against): My understanding is it was on your website in 2004.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"That is false, no?"
897,1043_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Kimberlé W. Crenshaw (role: against): When in fact, there are hundreds of affirmative action programs, ranging from affirmative action in admissions, ranging from outreach programs, development programs, information programs—
Kimberlé W. Crenshaw (role: against): All of these forms of affirmative action have been shown to be effective for the particular obstacles that they are meant to overcome.
Kimberlé W. Crenshaw (role: against): Our institutions know how to integrate equally, do they know how to educate equally, that’s the question that is raised.
Robert Siegel (role: mod): Uh, Kimberlé Crenshaw, uh, speaking and answering of that question, she is one of our panelists opposed to the motion.
Robert Siegel (role: mod): And I’d like to call on you, uh, please, uh, I’d ask you—I’m sorry.
Robert Siegel (role: mod): I got away ahead of myself.
Robert Siegel (role: mod): Kimberlé Crenshaw, it’s your turn to put a question to Joseph Phillips.
Kimberlé W. Crenshaw (role: against): Is it your understanding that Colin Powell does not support affirmative action, to put it more specifically, that he believes that promotions the armed forces should be absolutely color-blind?
Robert Siegel (role: mod): Joseph Phillips?
Joseph C. Phillips (role: for): Racial preferences, uh, are not a good thing, and I don’t believe that that’s what Colin Powell says—
Joseph C. Phillips (role: for): No, that’s—I said in my—
Kimberlé W. Crenshaw (role: against): That’s what I wanna know—
Joseph C. Phillips (role: for): You’re asking me to go back—
Joseph C. Phillips (role: for): —I’m go—but— You know, you, you take one speech that someone made and they may have said other things at, at other times during other, uh, conversations.
Kimberlé W. Crenshaw (role: against): It’s in his book.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,Okay.
897,1013_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Tim Wise (role: against): Sure thing, um, John, you suggest that, people of color are potentially less qualified as evidenced by their college performance, maybe should go less selective schools as a result.
Tim Wise (role: against): Does that mean that men are unqualified for the slots that they receive in colleges and law schools, and that maybe they should lower their sights to second- and third-tier schools and leave the best slots and opportunities for all the women.
Robert Siegel (role: mod): John McWhorter, your answer.
John H. McWhorter (role: for): I mean we’ve long known about those particular gender discrepancies, and if we’re gonna talk about a kind of mindless bean-counting, then no, I’m not in favor of that kind of address of racial preferences, but when you’re dealing with schools which before a ban on preferences have a stark, two-tiered system, where black students are crashing and burning at much faster rates, then I think that in terms of arguing about—
John H. McWhorter (role: for): —morality, and how we address the past, and how we help people cope, with a nation where I don’t think that the playing field could ever possibly be perfectly level, that, there is an issue for talking about racial preferences rather than what you’re talking about.
John H. McWhorter (role: for): Khin, I would just ask you this.
John H. McWhorter (role: for): A very smart young woman during the ban on racial preferences told me that she—she was an undergraduate working in the recruiting office—was discouraging black applicants from coming to UC Berkeley if they made really high SAT scores and had really good grades.
John H. McWhorter (role: for): In other words—
John H. McWhorter (role: for): —high achievers—
John H. McWhorter (role: for): —are not really black.
Khin Mai Aung (role: against): I’m sorry, could you clarify the question, there was a long—
Khin Mai Aung (role: against): Well first of all, standards are not lowered.
Khin Mai Aung (role: against): Secondly, beneficiaries of affirmative action are qualified.
Khin Mai Aung (role: against): All beneficiaries of affirmative action have test scores, and, and, and other criteria where they are, are able to succeed and they do succeed.
Robert Siegel (role: mod): 30 seconds.
Khin Mai Aung (role: against): They had very similar career arcs once they graduated.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"And your question now, uh, Khin Mai Aung, uh, who, uh, opposed the motion, put a question to Terence Pell who argues in favor of it."
897,1112_0,test,It's Time to End Affirmative Action,"Robert Siegel<mod>: unknown
Joseph C. Phillips<for>: Actor, Social Commentator and Syndicated Columnist
Tim Wise<against>: Writer and Educator
John H. McWhorter<for>: Senior Fellow at the Manhattan Institute and weekly columnist for the New York Sun
Khin Mai Aung<against>: Staff Attorney at the Asian American Legal Defense and Education Fund
Terence J. Pell<for>: President of The Center for Individual Rights (CIR)
Kimberlé W. Crenshaw<against>: Professor of Law at UCLA and at Columbia Law School","Robert Siegel (role: mod): Joseph Phillips.
Joseph C. Phillips (role: for): Uh, and this is why earlier I said, we need to talk about people, because when we start talking in these broad terms, we’re talking about the black middle class, I happen to live in Los Angeles, down the street from Calabasas California, which is one of the wealthiest communities in America.
Joseph C. Phillips (role: for): THE idea that, that these children are in need of preferences because they don’t have access, uh ,to, to the same, uh, benefits that their white counterparts, is just ridiculous.
Joseph C. Phillips (role: for): I also want to go back to, to address something else that was said, this idea of, of this testing.
Joseph C. Phillips (role: for): And I don’t buy it.
Joseph C. Phillips (role: for): If we want to get rid of these tests, then let’s get rid of them.
John H. McWhorter (role: for): Robert?
John H. McWhorter (role: for): Could I…?
Robert Siegel (role: mod): John McWhorter?
John H. McWhorter (role: for): There’s a myth nowadays, there is a myth nowadays that that has been disproven.
John H. McWhorter (role: for): There are many studies, I’ve looked at all of them in detail, all of them show, even when they don’t think they're showing it, that there is a strong tendency for black kids to tease each other that way.
John H. McWhorter (role: for): But, the question is, how does, how do racial preference programs address that particular problem, which I think is addressable, and is being addressed by things that go on before kids go to college?
Tim Wise (role: against): Robert?
Tim Wise (role: against): I just, responding to the last thing John said, I think it’s interesting that he’s upset about, supposedly, ostensibly, middle class black kids saying that it’s white to be smart, and somehow that’s their pathology, and that’s the problem we should address.
Tim Wise (role: against): What I find interesting about it is that you, John, are affiliated with the Manhattan Institute, which has received money from the Bradley Foundation, hundreds of thousands of dollars.
Tim Wise (role: against): So, when you say that black folks say being smart or doing well in school is acting white, the book, The Bell Curve, funded by the same people that fund the organization you work for, basically says the same thing, it says high IQ is white, or perhaps Asian, and black folks are genetically defective.
Tim Wise (role: against): And not one prominent conservative in this country, including the three of you, said anything public when The Bell Curve came out, not one word, not one prominent conservative.
Robert Siegel (role: mod): John McWhorter?
Robert Siegel (role: mod): Yes?
John H. McWhorter (role: for): To the extent that Bradley funded that book, which I frankly did not know, and that they fund some work that the Manhattan Institute does, that’s certainly true.
John H. McWhorter (role: for): And what I'm funded for doing at the Manhattan Institute is things like working on prisoner re-entry programs, et cetera.
John H. McWhorter (role: for): Nevertheless, it is there today, and I don’t think that it can be denied.","{'breakdown': None, 'post': {'undecided': 6.0, 'for': 40.0, 'against': 55.0}, 'pre': {'undecided': 22.0, 'for': 34.0, 'against': 44.0}}",Robert Siegel,mod,"OK, well enough about those other institutions, and uh… Back to questions from the audience."
